Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jan 08 2022 20:25:31 GMT-0800 (Pacific Standard Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,Daily Count People Receiving a Booster Dose,People Receiving a Booster Dose Cumulative,7-Day Average Daily Count Booster
Admin,2021-08-09,US,777763,518933,359727331,197513352,486128,700048,N/A,N/A,281162,169630166,234894,0,0,0
Admin,2021-08-10,US,794358,528562,360521689,198041914,485095,705318,N/A,N/A,288603,169918769,240706,0,0,0
Admin,2021-08-11,US,764192,497424,361285881,198539338,477594,704082,N/A,N/A,290199,170208968,246478,0,0,0
Admin,2021-08-12,US,798080,512470,362083961,199051808,471214,705628,N/A,N/A,307524,170516492,253413,0,0,0
Admin,2021-08-13,US,942330,579504,363026291,199631312,464927,711401,N/A,N/A,382344,170898836,264471,13256,13256,1894
Admin,2021-08-14,US,621215,361793,363647506,199993105,462227,720886,N/A,N/A,238213,171137049,271925,35285,48541,6934
Admin,2021-08-15,US,396703,211557,364044209,200204662,458606,727805,N/A,N/A,158733,171295782,278111,32192,80733,11533
Admin,2021-08-16,US,865696,464730,364909905,200669392,450863,740367,N/A,N/A,348150,171643932,287680,78752,159485,22784
Admin,2021-08-17,US,917763,490237,365827668,201159629,445388,757997,N/A,N/A,357205,172001137,297481,97676,257161,36737
Admin,2021-08-18,US,946350,487428,366774018,201647057,443960,784019,N/A,N/A,372008,172373145,309168,114150,371311,53044
Admin,2021-08-19,US,938203,480249,367712221,202127306,439357,804037,N/A,N/A,374219,172747364,318696,111906,483217,69031
Admin,2021-08-20,US,1099586,538554,368811807,202665860,433507,826502,N/A,N/A,469339,173216703,331123,118878,602095,84120
Admin,2021-08-21,US,660871,321445,369472678,202987305,427743,832167,N/A,N/A,291353,173508056,338715,59970,662065,87646
Admin,2021-08-22,US,386577,183825,369859255,203171130,423781,830720,N/A,N/A,175696,173683752,341138,30755,692820,87441
Admin,2021-08-23,US,914098,442572,370773353,203613702,420616,837635,N/A,N/A,397366,174081118,348169,94727,787547,89723
Admin,2021-08-24,US,942526,461930,371715879,204075632,416572,841173,N/A,N/A,405893,174487011,355124,98076,885623,89780
Admin,2021-08-25,US,958727,469661,372674606,204545293,414034,842941,N/A,N/A,413326,174900337,361027,100674,986297,87855
Admin,2021-08-26,US,982318,476650,373656924,205021943,413520,849243,N/A,N/A,423431,175323768,368057,108151,1094448,87319
Admin,2021-08-27,US,1161186,535022,374818110,205556965,413015,858043,N/A,N/A,527727,175851495,376398,123020,1217468,87910
Admin,2021-08-28,US,706559,319758,375524669,205876723,412774,864570,N/A,N/A,333617,176185112,382436,62455,1279923,88265
Admin,2021-08-29,US,427054,193961,375951723,206070684,414222,870352,N/A,N/A,201345,176386457,386100,34738,1314661,88834
Admin,2021-08-30,US,917391,417350,376869114,206488034,410619,870823,N/A,N/A,421316,176807773,389522,97325,1411986,89206
Admin,2021-08-31,US,918929,419558,377788043,206907592,404566,867452,N/A,N/A,411785,177219558,390363,106437,1518423,90400
Admin,2021-09-01,US,918712,425484,378706755,207333076,398255,861735,N/A,N/A,398144,177617702,388195,114943,1633366,92438
Admin,2021-09-02,US,887003,403896,379593758,207736972,387861,848119,N/A,N/A,391604,178009306,383648,111225,1744591,92878
Admin,2021-09-03,US,1031703,454877,380625461,208191849,376412,829621,N/A,N/A,478811,178488117,376660,116218,1860809,91906
Admin,2021-09-04,US,555832,246716,381181293,208438565,365977,808089,N/A,N/A,271451,178759568,367779,43391,1904200,89182
Admin,2021-09-05,US,363626,168707,381544919,208607272,362370,799028,N/A,N/A,169617,178929185,363246,26714,1930914,88036
Admin,2021-09-06,US,174786,82007,381719705,208689279,314464,692941,N/A,N/A,84367,179013552,315111,11065,1941979,75713
Admin,2021-09-07,US,899984,355599,382619689,209044878,305327,690235,N/A,N/A,469188,179482740,323311,90215,2032194,73396
Admin,2021-09-08,US,836728,367312,383456417,209412190,297016,678523,N/A,N/A,392578,179875318,322516,93517,2125711,70335
Admin,2021-09-09,US,838870,373625,384295287,209785815,292692,671647,N/A,N/A,388078,180263396,322012,94983,2220694,68015
Admin,2021-09-10,US,1024115,450537,385319402,210236352,292072,670563,N/A,N/A,489184,180752580,323494,104254,2324948,66306
Admin,2021-09-11,US,592583,259728,385911985,210496080,293931,675813,N/A,N/A,293286,181045866,326614,47569,2372517,66902
Admin,2021-09-12,US,347057,157400,386259042,210653480,292315,673446,N/A,N/A,169577,181215443,326608,22166,2394683,66253
Admin,2021-09-13,US,772671,337429,387031713,210990909,328804,758858,N/A,N/A,375388,181590831,368182,73819,2468502,75218
Admin,2021-09-14,US,741781,316502,387773494,211307411,323219,736257,N/A,N/A,369731,181960562,353974,72379,2540881,72670
Admin,2021-09-15,US,752159,312953,388525653,211620364,315453,724176,N/A,N/A,380524,182341086,352252,74987,2615868,70022
Admin,2021-09-16,US,752113,311443,389277766,211931807,306570,711782,N/A,N/A,383583,182724669,351610,75248,2691116,67203
Admin,2021-09-17,US,893167,352147,390170933,212283954,292515,693075,N/A,N/A,470654,183195323,348963,87778,2778894,64849
Admin,2021-09-18,US,516523,206139,390687456,212490093,284859,682210,N/A,N/A,269639,183464962,345585,47239,2826133,64802
Admin,2021-09-19,US,301718,119601,390989174,212609694,279459,675733,N/A,N/A,161013,183625975,344361,22500,2848633,64850
Admin,2021-09-20,US,679611,266267,391668785,212875961,269293,662438,N/A,N/A,342844,183968819,339712,83268,2931901,66200
Admin,2021-09-21,US,667765,262914,392336550,213138875,261638,651865,N/A,N/A,334501,184303320,334679,86106,3018007,68161
Admin,2021-09-22,US,658042,256040,392994592,213394915,253507,638419,N/A,N/A,328343,184631663,327225,83127,3101134,69324
Admin,2021-09-23,US,667629,257469,393662221,213652384,245797,626350,N/A,N/A,321031,184952694,318289,99797,3200931,72831
Admin,2021-09-24,US,972595,325710,394634816,213978094,242020,637697,N/A,N/A,403862,185356556,308747,252714,3453645,96393
Admin,2021-09-25,US,665315,207740,395300131,214185834,242249,658953,N/A,N/A,224101,185580657,302242,236582,3690227,123442
Admin,2021-09-26,US,404312,122333,395704443,214308167,242639,673609,N/A,N/A,142129,185722786,299544,140107,3830334,140243
Admin,2021-09-27,US,1014384,306506,396718827,214614673,248387,721434,N/A,N/A,217362,185940148,281618,497881,4328215,199473
Admin,2021-09-28,US,1115683,298981,397834510,214913654,253540,785422,N/A,N/A,296974,186237122,276257,527304,4855519,262502
Admin,2021-09-29,US,1120742,296041,398955252,215209695,259254,851522,N/A,N/A,303587,186540709,272720,528942,5384461,326190
Admin,2021-09-30,US,1141564,297003,400096816,215506698,264902,919227,N/A,N/A,309285,186849994,271042,542340,5926801,389410
Admin,2021-10-01,US,1270514,321804,401367330,215828502,264344,961787,N/A,N/A,365543,187215537,265568,588083,6514884,437320
Admin,2021-10-02,US,620789,177701,401988119,216006203,260053,955426,N/A,N/A,201954,187417491,262404,244468,6759352,438446
Admin,2021-10-03,US,361460,108737,402349579,216114940,258110,949305,N/A,N/A,127062,187544553,260252,125959,6885311,436425
Admin,2021-10-04,US,964205,254243,403313784,216369183,250644,942136,N/A,N/A,247898,187792451,264614,467649,7352960,432106
Admin,2021-10-05,US,997450,250925,404311234,216620108,243779,925246,N/A,N/A,249669,188042120,257856,503988,7856948,428776
Admin,2021-10-06,US,1011710,254727,405322944,216874835,237877,909670,N/A,N/A,251037,188293157,250349,512605,8369553,426442
Admin,2021-10-07,US,987942,254586,406310886,217129421,231818,887724,N/A,N/A,246036,188539193,241314,495020,8864573,419682
Admin,2021-10-08,US,1122840,290388,407433726,217419809,227330,866628,N/A,N/A,301639,188840832,232185,539306,9403879,412714
Admin,2021-10-09,US,528890,150989,407962616,217570798,223514,853499,N/A,N/A,164160,189004992,226785,217546,9621425,408868
Admin,2021-10-10,US,308972,95178,408271588,217665976,221577,846001,N/A,N/A,101983,189106975,223203,112390,9733815,406929
Admin,2021-10-11,US,840139,231732,409111727,217897708,218361,828277,N/A,N/A,215384,189322359,218558,400622,10134437,397354
Admin,2021-10-12,US,907754,234170,410019481,218131878,215967,815463,N/A,N/A,226321,189548680,215222,454561,10588998,390293
Admin,2021-10-13,US,884620,231376,410904101,218363254,212631,797308,N/A,N/A,221604,189770284,211018,440630,11029628,380011
Admin,2021-10-14,US,893198,231062,411797299,218594316,209271,783773,N/A,N/A,221373,189991657,207494,449809,11479437,373552
Admin,2021-10-15,US,1028349,267093,412825648,218861409,205943,770274,N/A,N/A,269269,190260926,202870,501627,11981064,368169
Admin,2021-10-16,US,484078,143743,413309726,219005152,204908,763872,N/A,N/A,140591,190401517,199503,203977,12185041,366231
Admin,2021-10-17,US,265571,85613,413575297,219090765,203541,757672,N/A,N/A,82007,190483524,196649,98760,12283801,364284
Admin,2021-10-18,US,815956,227893,414391253,219318658,202993,754218,N/A,N/A,205710,190689234,195267,391137,12674938,362929
Admin,2021-10-19,US,804917,206489,415196170,219525147,199038,739527,N/A,N/A,187715,190876949,189752,419505,13094443,357921
Admin,2021-10-20,US,815815,206702,416011985,219731849,195514,729697,N/A,N/A,189255,191066204,185131,429523,13523966,356334
Admin,2021-10-21,US,837480,211101,416849465,219942950,192662,721738,N/A,N/A,191243,191257447,180827,444332,13968298,355552
Admin,2021-10-22,US,1350043,303446,418199508,220246396,197855,767694,N/A,N/A,239436,191496883,176565,815871,14784169,400444
Admin,2021-10-23,US,816844,184289,419016352,220430685,203648,815232,N/A,N/A,131160,191628043,175218,505232,15289401,443480
Admin,2021-10-24,US,466878,113298,419483230,220543983,207603,843990,N/A,N/A,78538,191706581,174722,275933,15565334,468790
Admin,2021-10-25,US,1497258,316645,420980488,220860628,220281,941319,N/A,N/A,200017,191906598,173909,987055,16552389,553922
Admin,2021-10-26,US,1529887,312009,422510375,221172637,235356,1044886,N/A,N/A,197410,192104008,175294,1029737,17582126,641098
Admin,2021-10-27,US,1589888,320776,424100263,221493413,251652,1155468,N/A,N/A,202555,192306563,177194,1076145,18658271,733472
Admin,2021-10-28,US,1574068,310974,425674331,221804387,265920,1260695,N/A,N/A,203692,192510255,178972,1070234,19728505,822887
Admin,2021-10-29,US,1748419,342903,427422750,222147290,271556,1317606,N/A,N/A,232432,192742687,177972,1184394,20912899,875533
Admin,2021-10-30,US,805629,175617,428228379,222322907,270317,1316003,N/A,N/A,116672,192859359,175902,520114,21433013,877659
Admin,2021-10-31,US,429882,105260,428658261,222428167,269169,1310718,N/A,N/A,68654,192928013,174490,258512,21691525,875170
Admin,2021-11-01,US,1412193,297029,430070454,222725196,266367,1298566,N/A,N/A,189563,193117576,172996,934979,22626504,867731
Admin,2021-11-02,US,1468774,298461,431539228,223023657,264431,1289836,N/A,N/A,183612,193301188,171025,998299,23624803,863240
Admin,2021-11-03,US,1523102,322650,433062330,223346307,264699,1280295,N/A,N/A,186999,193488187,168803,1026008,24650811,856077
Admin,2021-11-04,US,1595414,360151,434657744,223706458,271724,1283344,N/A,N/A,187975,193676162,166558,1058151,25708962,854351
Admin,2021-11-05,US,1864073,464768,436521817,224171226,289134,1299866,N/A,N/A,222970,193899132,165206,1189292,26898254,855051
Admin,2021-11-06,US,1013649,392965,437535466,224564191,320183,1329583,N/A,N/A,114635,194013767,164915,512053,27410307,853899
Admin,2021-11-07,US,543785,229757,438079251,224793948,337969,1345855,N/A,N/A,68282,194082049,164862,249792,27660099,852653
Admin,2021-11-08,US,1425684,477967,439504935,225271915,363817,1347783,N/A,N/A,167822,194249871,161756,790710,28450809,832044
Admin,2021-11-09,US,1597298,530834,441102233,225802749,397013,1366143,N/A,N/A,161994,194411865,158668,913280,29364089,819898
Admin,2021-11-10,US,1721431,580669,442823664,226383418,433873,1394476,N/A,N/A,165796,194577661,155639,983316,30347405,813799
Admin,2021-11-11,US,1561045,555936,444384709,226939354,461842,1389566,N/A,N/A,149674,194727335,150167,863221,31210626,785952
Admin,2021-11-12,US,1934730,644905,446319439,227584259,487576,1399660,N/A,N/A,194006,194921341,146029,1106633,32317259,774144
Admin,2021-11-13,US,1143654,531261,447463093,228115520,507333,1418232,N/A,N/A,100075,195021416,143949,515123,32832382,774582
Admin,2021-11-14,US,567068,241900,448030161,228357420,509067,1421558,N/A,N/A,59042,195080458,142629,268807,33101189,777299
Admin,2021-11-15,US,1510241,469156,449540402,228826576,507809,1433638,N/A,N/A,162982,195243440,141938,887205,33988394,791084
Admin,2021-11-16,US,1637057,497875,451177459,229324451,503100,1439318,N/A,N/A,163055,195406495,142090,986670,34975064,801568
Admin,2021-11-17,US,1710496,515366,452887955,229839817,493771,1437755,N/A,N/A,167639,195574134,142353,1037683,36012747,809335
Admin,2021-11-18,US,1735140,514102,454623095,230353919,487795,1462626,N/A,N/A,166790,195740924,144798,1064495,37077242,838088
Admin,2021-11-19,US,2014223,590859,456637318,230944778,480074,1473982,N/A,N/A,189889,195930813,144210,1243942,38321184,857704
Admin,2021-11-20,US,1201688,461133,457839006,231405911,470056,1482273,N/A,N/A,98600,196029413,143999,646764,38967948,876509
Admin,2021-11-21,US,623443,205665,458462449,231611576,464879,1490326,N/A,N/A,58302,196087715,143893,362809,39330757,889938
Admin,2021-11-22,US,1754181,491084,460216630,232102660,468012,1525175,N/A,N/A,166265,196253980,144362,1106491,40437248,921265
Admin,2021-11-23,US,1727187,493438,461943817,232596098,467378,1538051,N/A,N/A,159830,196413810,143902,1084053,41521301,935177
Admin,2021-11-24,US,1335225,405932,463279042,233002030,451745,1484441,N/A,N/A,147520,196561330,141028,791173,42312474,899961
Admin,2021-11-25,US,24230,7962,463303272,233009992,379439,1240025,N/A,N/A,4306,196565636,117816,12082,42324556,749616
Admin,2021-11-26,US,1164910,313844,464468182,233323836,339865,1118694,N/A,N/A,169389,196735025,114887,687792,43012348,670166
Admin,2021-11-27,US,861735,221365,465329917,233545201,305613,1070130,N/A,N/A,191871,196926896,128211,452695,43465043,642442
Admin,2021-11-28,US,568351,142070,465898268,233687271,296528,1062259,N/A,N/A,142582,197069478,140251,286186,43751229,631496
Admin,2021-11-29,US,1610538,363496,467508806,234050767,278301,1041739,N/A,N/A,347866,197417344,166194,908490,44659719,603210
Admin,2021-11-30,US,1854498,412447,469363304,234463214,266731,1059926,N/A,N/A,375635,197792979,197024,1077148,45736867,602224
Admin,2021-12-01,US,2056535,465739,471419839,234928953,275275,1162971,N/A,N/A,392439,198185418,232012,1207836,46944703,661747
Admin,2021-12-02,US,2075111,454468,473494950,235383421,339061,1455954,N/A,N/A,378204,198563622,285426,1251921,48196624,838867
Admin,2021-12-03,US,2329173,493249,475824123,235876670,364691,1622277,N/A,N/A,466822,199030444,327917,1377890,49574514,937452
Admin,2021-12-04,US,1420094,303540,477244217,236180210,376430,1702042,N/A,N/A,432084,199462528,362233,687667,50262181,971020
Admin,2021-12-05,US,698588,166482,477942805,236346692,379917,1720648,N/A,N/A,181258,199643786,367758,352586,50614767,980505
Admin,2021-12-06,US,1753257,396350,479696062,236743042,384611,1741036,N/A,N/A,310612,199954398,362436,1051355,51666122,1000915
Admin,2021-12-07,US,1834286,409844,481530348,237152886,384239,1738149,N/A,N/A,327170,200281568,355512,1102980,52769102,1004605
Admin,2021-12-08,US,1842434,414070,483372782,237566956,376858,1707563,N/A,N/A,337017,200618585,347595,1098438,53867540,988977
Admin,2021-12-09,US,1836519,410445,485209301,237977401,370569,1673478,N/A,N/A,322435,200941020,339628,1109620,54977160,968648
Admin,2021-12-10,US,2003035,427768,487212336,238405169,361214,1626887,N/A,N/A,375852,201316872,326632,1205100,56182260,943964
Admin,2021-12-11,US,1193293,266121,488405629,238671290,355869,1594487,N/A,N/A,316526,201633398,310124,611417,56793677,933071
Admin,2021-12-12,US,599571,151699,489005200,238822989,353757,1580342,N/A,N/A,122390,201755788,301714,327890,57121567,929543
Admin,2021-12-13,US,1542502,351619,490547702,239174608,347367,1550234,N/A,N/A,264537,202020325,295132,932455,58054022,912557
Admin,2021-12-14,US,1629994,370854,492177696,239545462,341797,1521049,N/A,N/A,269999,202290324,286965,996329,59050351,897321
Admin,2021-12-15,US,1632340,384312,493810036,239929774,337545,1491036,N/A,N/A,246861,202537185,274085,1009104,60059455,884559
Admin,2021-12-16,US,1606142,395540,495416178,240325314,335416,1458125,N/A,N/A,160647,202697832,250973,1058130,61117585,877204
Admin,2021-12-17,US,1831212,437485,497247390,240762799,336804,1433579,N/A,N/A,239012,202936844,231424,1158167,62275752,870499
Admin,2021-12-18,US,1064501,288514,498311891,241051313,340003,1415180,N/A,N/A,154667,203091511,208301,622686,62898438,872109
Admin,2021-12-19,US,611828,170987,498923719,241222300,342759,1416931,N/A,N/A,78090,203169601,201973,363657,63262095,877218
Admin,2021-12-20,US,1739343,445588,500663062,241667888,356183,1445051,N/A,N/A,213063,203382664,194619,1083512,64345607,898798
Admin,2021-12-21,US,1859555,471686,502522617,242139574,370587,1477845,N/A,N/A,227801,203610465,188591,1162186,65507793,922492
Admin,2021-12-22,US,1749267,449144,504271884,242588718,379849,1494549,N/A,N/A,223426,203833891,185243,1079565,66587358,932558
Admin,2021-12-23,US,1368979,370236,505640863,242958954,376234,1460669,N/A,N/A,165980,203999871,186005,835479,67422837,900750
Admin,2021-12-24,US,359327,103978,506000190,243062932,328590,1250400,N/A,N/A,53132,204053003,159451,203849,67626686,764419
Admin,2021-12-25,US,5187,1762,506005377,243064694,287626,1099069,N/A,N/A,743,204053746,137462,2707,67629393,675851
Admin,2021-12-26,US,457737,133903,506463114,243198597,282328,1077056,N/A,N/A,78841,204132587,137569,245192,67874585,658927
Admin,2021-12-27,US,1427880,394485,507890994,243593082,275028,1032561,N/A,N/A,213317,204345904,137605,822611,68697196,621656
Admin,2021-12-28,US,1574073,430954,509465067,244024036,269209,991778,N/A,N/A,223869,204569773,137044,922236,69619432,587377
Admin,2021-12-29,US,1542440,427383,511007507,244451419,266100,962231,N/A,N/A,217438,204787211,136188,900770,70520202,561835
Admin,2021-12-30,US,1395912,394926,512403419,244846345,269627,966079,N/A,N/A,194376,204981587,140245,810134,71330336,558214
Admin,2021-12-31,US,557956,158697,512961375,245005042,277444,994455,N/A,N/A,84961,205066548,144792,315940,71646276,574227
Admin,2022-01-01,US,89493,31284,513050868,245036326,281662,1006498,N/A,N/A,14423,205080971,146746,44415,71690691,580185
Admin,2022-01-02,US,468547,136972,513519415,245173298,282100,1008043,N/A,N/A,84876,205165847,147608,247295,71937986,580486
Admin,2022-01-03,US,1117718,330229,514637133,245503527,272921,963734,N/A,N/A,175175,205341022,142159,615885,72553871,550954
Admin,2022-01-04,US,1241139,351119,515878272,245854646,261516,916172,N/A,N/A,186905,205527927,136879,706877,73260748,520188
Admin,2022-01-05,US,1194128,335734,517072400,246190380,248423,866413,N/A,N/A,173490,205701417,130600,688861,73949609,489915
Admin,2022-01-06,US,828076,220672,517900476,246411052,223530,785293,N/A,N/A,123876,205825293,120529,485592,74435201,443552
Admin,2022-01-07,US,120984,36769,518021460,246447821,206111,722869,N/A,N/A,19132,205844425,111125,64166,74499367,407584
Admin,2022-01-08,US,3,2,518021463,246447823,201642,710085,N/A,N/A,0,205844425,109064,1,74499368,401240
